"..Date.and.Time..UTC.","Receiver","Transmitter","Transmitter.Name","Transmitter.Serial","Sensor.Value","Sensor.Unit","Station.Name","Latitude","Longitude"
2017-10-01 00:28:52,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 00:30:46,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 00:31:32,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 00:33:48,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 00:34:47,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 00:35:16,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 00:36:23,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 00:37:08,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 00:39:40,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 00:39:48,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 00:40:56,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 00:42:24,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 00:44:16,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 00:46:55,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 00:49:10,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 00:52:25,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 03:16:33,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 04:37:45,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 04:45:30,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 04:47:36,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 04:48:45,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 04:50:00,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 04:51:24,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 04:53:09,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 04:55:34,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 04:59:48,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 05:26:18,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 05:50:13,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 05:52:54,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 05:58:50,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 06:04:53,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 06:09:11,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 06:13:39,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 06:17:05,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 06:31:34,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 06:34:04,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 06:35:59,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 06:36:24,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 06:38:51,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 06:43:07,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 06:43:21,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 06:45:34,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 06:50:55,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 06:53:18,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 06:54:51,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 07:58:00,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 07:59:34,"VR2W-103957","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_1",34.41291667,-119.5669
2017-10-01 08:06:57,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
2017-10-01 08:17:05,"VR2W-103954","A69-1601-37963",NA,NA,NA,NA,"JWS_SantaClaus_2",34.41001667,-119.5568
