"X","times","LON","LAT"
9266,"2017-06-23 02:41:00",-117.972683981042,33.5757801065773
9267,"2017-06-23 02:42:00",-117.973114338804,33.5758542416942
9268,"2017-06-23 02:43:00",-117.972677203635,33.5758913466582
9269,"2017-06-23 02:44:00",-117.97297983057,33.576157983339
9270,"2017-06-23 02:45:00",-117.972869818913,33.5758019167961
9271,"2017-06-23 02:46:00",-117.973230512931,33.5755918994396
9272,"2017-06-23 02:47:00",-117.972961471064,33.5758826691164
9273,"2017-06-23 02:48:00",-117.97340084809,33.5758827715615
9274,"2017-06-23 02:49:00",-117.973207458728,33.5755525309317
9275,"2017-06-23 02:50:00",-117.973637815808,33.5756266642308
9276,"2017-06-23 02:51:00",-117.973527802122,33.5752705982418
9277,"2017-06-23 02:52:00",-117.973958206004,33.5751966627769
9278,"2017-06-23 02:53:00",-117.974261005159,33.5749301657623
9279,"2017-06-23 02:54:00",-117.974563802453,33.574663667995
9280,"2017-06-23 02:55:00",-117.974866430907,33.5749303001157
9281,"2017-06-23 02:56:00",-117.975270240173,33.5747853513301
9282,"2017-06-23 02:57:00",-117.975247873063,33.5751526558373
9283,"2017-06-23 02:58:00",-117.975687246392,33.5751527501643
9284,"2017-06-23 02:59:00",-117.975577224892,33.5747966859686
9285,"2017-06-23 03:00:00",-117.975729716496,33.5751416061962
9286,"2017-06-23 03:01:00",-117.976090275159,33.5753517841137
9287,"2017-06-23 03:02:00",-117.975980038016,33.5757078016921
9288,"2017-06-23 03:03:00",-117.976282674467,33.5759744303058
9289,"2017-06-23 03:04:00",-117.976260311336,33.5763417349259
9290,"2017-06-23 03:05:00",-117.975926856576,33.5765812276661
9291,"2017-06-23 03:06:00",-117.975489718946,33.5766183425597
9292,"2017-06-23 03:07:00",-117.975893535033,33.5764733917811
9293,"2017-06-23 03:08:00",-117.976323898978,33.5765475157295
9294,"2017-06-23 03:09:00",-117.976626539416,33.5768141434666
9295,"2017-06-23 03:10:00",-117.976692967944,33.5771776971948
9296,"2017-06-23 03:11:00",-117.977132351536,33.5771777863927
9297,"2017-06-23 03:12:00",-117.977022321536,33.5768217235972
9298,"2017-06-23 03:13:00",-117.976999961319,33.577189028301
9299,"2017-06-23 03:14:00",-117.976562821084,33.5772261469811
9300,"2017-06-23 03:15:00",-117.97662924966,33.5775897007193
9301,"2017-06-23 03:16:00",-117.976360212988,33.5778804776917
9302,"2017-06-23 03:17:00",-117.976512713125,33.5782253967837
9303,"2017-06-23 03:18:00",-117.976075567456,33.5782625137356
9304,"2017-06-23 03:19:00",-117.975881963574,33.5785926686248
9305,"2017-06-23 03:20:00",-117.975688358217,33.5789228231932
9306,"2017-06-23 03:21:00",-117.975304231902,33.5787442559832
9307,"2017-06-23 03:22:00",-117.97537087973,33.5783807303166
9308,"2017-06-23 03:23:00",-117.975102016962,33.5780898396865
9309,"2017-06-23 03:24:00",-117.97525472524,33.5777449851895
9310,"2017-06-23 03:25:00",-117.975321148728,33.5781085395985
9311,"2017-06-23 03:26:00",-117.974987684577,33.578348029738
9312,"2017-06-23 03:27:00",-117.97534825477,33.5785582097102
9313,"2017-06-23 03:28:00",-117.974964019431,33.5787366112651
9314,"2017-06-23 03:29:00",-117.974579895433,33.5785580418017
9315,"2017-06-23 03:30:00",-117.974195658514,33.5787364409708
9316,"2017-06-23 03:31:00",-117.974428180167,33.5784243776784
9317,"2017-06-23 03:32:00",-117.974318159692,33.5780683125521
9318,"2017-06-23 03:33:00",-117.97389895797,33.5779581178581
9319,"2017-06-23 03:34:00",-117.974051448452,33.578303039977
9320,"2017-06-23 03:35:00",-117.973857836772,33.5786331916962
9321,"2017-06-23 03:36:00",-117.974218540178,33.5784231715579
9322,"2017-06-23 03:37:00",-117.973781416763,33.5783858647815
9323,"2017-06-23 03:38:00",-117.973848070699,33.578022339915
9324,"2017-06-23 03:39:00",-117.974278487968,33.5779484033713
9325,"2017-06-23 03:40:00",-117.973945176689,33.5777087656574
9326,"2017-06-23 03:41:00",-117.973561059341,33.5775301930033
9327,"2017-06-23 03:42:00",-117.973538925474,33.5771628787126
9328,"2017-06-23 03:43:00",-117.973841559495,33.5774295132326
9329,"2017-06-23 03:44:00",-117.973422288849,33.5775395172317
9330,"2017-06-23 03:45:00",-117.973003017139,33.5776495198082
9331,"2017-06-23 03:46:00",-117.972980885606,33.5772822054252
